,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",7/14/2023,553,147,141381703.0,43,263,45,10,826.0,125.0,B,Major,80.0,89.0,83.0,31.0,0.0,8.0,4.0
1,LALA,Myke Towers,3/23/2023,1474,48,133716286.0,48,126,58,14,382.0,92.0,C#,Major,71.0,61.0,74.0,7.0,0.0,10.0,4.0
2,vampire,Olivia Rodrigo,6/30/2023,1397,113,140003974.0,94,207,91,14,949.0,138.0,F,Major,51.0,32.0,53.0,17.0,0.0,31.0,6.0
3,Cruel Summer,Taylor Swift,8/23/2019,7858,100,800840817.0,116,207,125,12,548.0,170.0,A,Major,55.0,58.0,72.0,11.0,0.0,11.0,15.0
4,WHERE SHE GOES,Bad Bunny,5/18/2023,3133,50,303236322.0,84,133,87,15,425.0,144.0,A,Minor,65.0,23.0,80.0,14.0,63.0,11.0,6.0
5,Sprinter,"Dave, Central Cee",6/1/2023,2186,91,183706234.0,67,213,88,17,946.0,141.0,C#,Major,92.0,66.0,58.0,19.0,0.0,8.0,24.0
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",3/16/2023,3090,50,725980112.0,34,222,43,13,418.0,148.0,F,Minor,67.0,83.0,76.0,48.0,0.0,8.0,3.0
7,Columbia,Quevedo,7/7/2023,714,43,58149378.0,25,89,30,13,194.0,100.0,F,Major,67.0,26.0,71.0,37.0,0.0,11.0,4.0
8,fukumean,Gunna,5/15/2023,1096,83,95217315.0,60,210,48,11,953.0,130.0,C#,Minor,85.0,22.0,62.0,12.0,0.0,28.0,9.0
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",3/17/2023,2953,44,553634067.0,49,110,66,13,339.0,170.0,D,Minor,81.0,56.0,48.0,21.0,0.0,8.0,33.0
10,un x100to,"Bad Bunny, Grupo Frontera",4/17/2023,2876,40,505671438.0,41,205,54,12,251.0,83.0,F#,Minor,57.0,56.0,72.0,23.0,0.0,27.0,5.0
11,Super Shy,NewJeans,7/7/2023,422,55,58255150.0,37,202,21,5,168.0,150.0,F,Minor,78.0,52.0,82.0,18.0,0.0,15.0,7.0
12,Flowers,Miley Cyrus,1/12/2023,12211,115,1316855716.0,300,215,745,58,1021.0,118.0,,Major,71.0,65.0,68.0,6.0,0.0,3.0,7.0
13,Daylight,David Kushner,4/14/2023,3528,98,387570742.0,80,156,182,24,1281.0,130.0,D,Minor,51.0,32.0,43.0,83.0,0.0,9.0,3.0
14,As It Was,Harry Styles,3/31/2022,23575,130,2513188493.0,403,198,863,46,164.0,174.0,F#,Minor,52.0,66.0,73.0,34.0,0.0,31.0,6.0
15,Kill Bill,SZA,12/8/2022,8109,77,1163093654.0,183,162,161,12,187.0,89.0,G#,Major,64.0,43.0,73.0,5.0,17.0,16.0,4.0
16,Cupid - Twin Ver.,Fifty Fifty,2/24/2023,2942,77,496795686.0,91,212,78,6,0.0,120.0,B,Minor,78.0,76.0,59.0,43.0,0.0,34.0,3.0
17,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,7/13/2023,873,104,30546883.0,80,227,95,24,1173.0,78.0,,Major,44.0,14.0,9.0,96.0,0.0,10.0,3.0
18,Classy 101,"Feid, Young Miko",3/31/2023,2610,40,335222234.0,43,100,54,14,187.0,100.0,B,Major,86.0,67.0,66.0,14.0,0.0,12.0,16.0
19,Like Crazy,Jimin,3/24/2023,596,68,363369738.0,8,104,23,2,29.0,120.0,G,Major,63.0,36.0,73.0,0.0,0.0,36.0,4.0
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",6/22/2023,332,26,86444842.0,11,163,10,4,0.0,140.0,F,Minor,65.0,87.0,74.0,22.0,0.0,42.0,4.0
21,I Can See You (Taylor���s Version) (From The ,Taylor Swift,7/7/2023,516,38,52135248.0,73,119,42,1,150.0,123.0,F#,Major,69.0,82.0,76.0,6.0,0.0,6.0,3.0
